======================================================================
Training session started at 2026-09-05T19:15:05.207679
======================================================================
Loaded adversarial player checkpoint.
Loaded adversarial ghost checkpoint.
============================================================
Asymmetric Adv PPO | WU: 0 | Ratio: 5:1
U 0113 [GHOST TURN] | Ep 0211 | P_Rew: -448.0 | G_Rew:  267.8 | Win%:  47.1% | Die%:  98.0% | Loss(P/V): -0.000/16.841 | Ent: 1.328 | Time: 10399.5s
U 0114 [GHOST TURN] | Ep 0212 | P_Rew: -441.4 | G_Rew:  264.7 | Win%:  48.4% | Die%:  98.0% | Loss(P/V): -0.002/13.735 | Ent: 1.334 | Time: 10495.7s
U 0115 [PLAYER TURN] | Ep 0215 | P_Rew: -424.7 | G_Rew:  256.3 | Win%:  46.9% | Die%:  98.0% | Loss(P/V): 0.007/22.055 | Ent: 0.348 | Time: 10586.1s
U 0116 [GHOST TURN] | Ep 0215 | P_Rew: -424.7 | G_Rew:  256.3 | Win%:  46.9% | Die%:  98.0% | Loss(P/V): 0.002/14.596 | Ent: 1.327 | Time: 10679.0s
U 0117 [GHOST TURN] | Ep 0215 | P_Rew: -424.7 | G_Rew:  256.3 | Win%:  46.9% | Die%:  98.0% | Loss(P/V): 0.000/9.666 | Ent: 1.323 | Time: 10772.1s
U 0118 [GHOST TURN] | Ep 0217 | P_Rew: -582.5 | G_Rew:  335.2 | Win%:  48.2% | Die%:  98.0% | Loss(P/V): -0.004/11.302 | Ent: 1.329 | Time: 10870.0s
U 0119 [GHOST TURN] | Ep 0219 | P_Rew: -569.1 | G_Rew:  328.8 | Win%:  48.2% | Die%:  98.0% | Loss(P/V): 0.001/11.322 | Ent: 1.327 | Time: 10967.6s
U 0120 [GHOST TURN] | Ep 0220 | P_Rew: -546.7 | G_Rew:  317.6 | Win%:  48.9% | Die%:  98.0% | Loss(P/V): -0.000/12.945 | Ent: 1.320 | Time: 11060.5s
U 0121 [PLAYER TURN] | Ep 0221 | P_Rew: -542.4 | G_Rew:  315.2 | Win%:  50.2% | Die%:  98.0% | Loss(P/V): 0.004/20.735 | Ent: 0.347 | Time: 11154.2s
U 0122 [GHOST TURN] | Ep 0223 | P_Rew: -562.1 | G_Rew:  324.4 | Win%:  51.5% | Die%:  98.0% | Loss(P/V): -0.003/14.682 | Ent: 1.326 | Time: 11246.3s
U 0123 [GHOST TURN] | Ep 0225 | P_Rew: -538.2 | G_Rew:  311.9 | Win%:  53.3% | Die%:  98.0% | Loss(P/V): -0.006/17.484 | Ent: 1.332 | Time: 11338.4s
U 0124 [GHOST TURN] | Ep 0227 | P_Rew: -509.0 | G_Rew:  297.3 | Win%:  54.6% | Die%:  98.0% | Loss(P/V): -0.003/15.957 | Ent: 1.323 | Time: 11426.9s
U 0125 [GHOST TURN] | Ep 0228 | P_Rew: -504.6 | G_Rew:  294.7 | Win%:  55.7% | Die%:  98.0% | Loss(P/V): -0.002/14.035 | Ent: 1.321 | Time: 11523.7s
U 0126 [GHOST TURN] | Ep 0230 | P_Rew: -578.0 | G_Rew:  331.4 | Win%:  55.4% | Die%:  98.0% | Loss(P/V): -0.002/12.352 | Ent: 1.326 | Time: 11617.9s
U 0127 [PLAYER TURN] | Ep 0231 | P_Rew: -579.7 | G_Rew:  332.2 | Win%:  55.5% | Die%:  98.0% | Loss(P/V): -0.001/24.223 | Ent: 0.328 | Time: 11710.3s
